,season,player_id,player,pos,age,tm,g,gs,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_percent,x2p_percent,e_fg_percent,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
522,2023,4778,P.J. Washington,PF,24.0,CHO,73,73.0,32.6,5.9,13.4,0.444,0.348,0.518,0.52,0.73,1.0,3.9,4.9,2.4,0.9,1.1,1.5,2.6,15.7
523,2023,5089,Paolo Banchero,PF,20.0,ORL,72,72.0,33.8,6.7,15.6,0.427,0.298,0.471,0.465,0.738,1.2,5.7,6.9,3.7,0.8,0.5,2.8,2.2,20.0
524,2023,4437,Pascal Siakam,C,28.0,TOR,71,71.0,37.4,8.9,18.5,0.48,0.324,0.523,0.515,0.774,1.8,6.0,7.8,5.8,0.9,0.5,2.4,3.2,24.2
525,2023,4354,Pat Connaughton,SG,30.0,MIL,61,33.0,23.7,2.7,6.9,0.392,0.339,0.566,0.521,0.659,0.8,3.8,4.6,1.3,0.6,0.2,0.5,1.1,7.6
526,2023,5090,Patrick Baldwin Jr.,SF,20.0,GSW,31,0.0,7.3,1.4,3.5,0.394,0.381,0.44,0.541,0.667,0.0,1.3,1.3,0.4,0.2,0.1,0.4,0.5,3.9
527,2023,4124,Patrick Beverley,PG,34.0,TOT,67,67.0,27.1,2.1,5.4,0.4,0.335,0.529,0.511,0.723,0.7,3.0,3.7,2.9,0.9,0.6,0.9,2.8,6.2
530,2023,4873,Patrick Williams,PF,21.0,CHI,82,65.0,28.3,3.8,8.3,0.464,0.415,0.498,0.549,0.857,1.0,3.0,4.0,1.2,0.9,0.9,1.2,1.8,10.2
531,2023,3898,Patty Mills,PG,34.0,BRK,40,2.0,14.2,2.2,5.2,0.411,0.366,0.493,0.529,0.833,0.2,0.9,1.1,1.4,0.4,0.1,0.8,0.8,6.2
532,2023,3969,Paul George,SG,32.0,LAC,56,56.0,34.6,8.2,17.9,0.457,0.371,0.521,0.536,0.871,0.8,5.3,6.1,5.1,1.5,0.4,3.1,2.8,23.8
533,2023,4874,Paul Reed,C,23.0,PHI,69,2.0,10.9,1.8,3.0,0.593,0.167,0.606,0.596,0.745,1.6,2.2,3.8,0.4,0.7,0.7,0.7,1.8,4.2
534,2023,4875,Payton Pritchard,PG,25.0,BOS,48,3.0,13.4,2.1,5.1,0.412,0.364,0.495,0.527,0.75,0.5,1.3,1.8,1.3,0.3,0.0,0.8,0.8,5.6
535,2023,5091,Peyton Watson,SG,20.0,DEN,23,2.0,8.1,1.3,2.6,0.492,0.429,0.511,0.542,0.55,0.3,1.3,1.6,0.5,0.1,0.5,0.3,0.6,3.3
536,2023,4557,PJ Dozier,SG,26.0,SAC,16,0.0,4.9,0.6,2.1,0.303,0.125,0.471,0.333,1000.0,0.1,0.8,0.9,0.6,0.4,0.1,0.3,0.4,1.4
537,2023,4876,Precious Achiuwa,C,23.0,TOR,55,12.0,20.7,3.6,7.3,0.485,0.269,0.564,0.521,0.702,1.8,4.1,6.0,0.9,0.6,0.5,1.1,1.9,9.2
538,2023,5000,Quentin Grimes,SG,22.0,NYK,71,66.0,29.9,4.0,8.5,0.468,0.386,0.641,0.599,0.796,0.7,2.5,3.2,2.1,0.7,0.4,1.0,2.5,11.3
539,2023,5092,Quenton Jackson,PG,24.0,WAS,9,0.0,15.0,2.1,4.7,0.452,0.083,0.6,0.464,0.773,0.2,0.7,0.9,1.7,0.4,0.1,0.4,1.1,6.2
540,2023,4877,R.J. Hampton,PG,21.0,TOT,47,3.0,16.0,2.2,5.0,0.43,0.353,0.504,0.517,0.75,0.4,1.5,1.9,1.1,0.6,0.2,0.9,1.1,6.4
543,2023,5093,RaiQuan Gray,PF,23.0,BRK,1,0.0,35.0,6.0,12.0,0.5,0.4,0.571,0.583,1.0,3.0,6.0,9.0,7.0,0.0,1.0,4.0,5.0,16.0
544,2023,4358,Raul Neto,PG,30.0,CLE,48,1.0,10.5,1.2,2.3,0.518,0.286,0.662,0.573,0.912,0.2,0.8,1.0,1.6,0.4,0.1,0.5,1.0,3.3
545,2023,4194,Reggie Bullock,SF,31.0,DAL,78,55.0,30.3,2.5,6.0,0.409,0.38,0.562,0.569,0.703,0.4,3.2,3.6,1.4,0.7,0.2,0.5,2.1,7.2
546,2023,4050,Reggie Jackson,PG,32.0,TOT,68,40.0,24.4,3.9,9.4,0.411,0.333,0.474,0.486,0.91,0.4,1.8,2.1,3.4,0.7,0.1,1.7,1.7,10.2
